File: qperf-go
Type: cpu
Time: Nov 16, 2023 at 7:29pm (CET)
Duration: 5.50s, Total samples = 10.02s (182.02%)
Showing nodes accounting for 10.02s, 100% of 10.02s total
      flat  flat%   sum%        cum   cum%
     0.01s   0.1% 97.50%      0.01s   0.1%  runtime.ifaceeq
     0.01s   0.1% 97.60%      0.01s   0.1%  runtime.mapassign_fast64
     0.01s   0.1% 97.70%      0.01s   0.1%  runtime.nanotime1
     0.01s   0.1% 97.80%      0.01s   0.1%  runtime.pcvalue
     0.01s   0.1% 97.90%      0.02s   0.2%  runtime.pidleget
     0.01s   0.1% 98.00%      0.01s   0.1%  runtime.procyield
     0.01s   0.1% 98.10%      0.01s   0.1%  runtime.readgstatus
     0.01s   0.1% 98.20%      0.11s  1.10%  runtime.ready
     0.01s   0.1% 98.30%      0.02s   0.2%  runtime.reentersyscall
     0.01s   0.1% 98.40%      0.01s   0.1%  runtime.runqput
     0.01s   0.1% 98.50%      0.31s  3.09%  runtime.runqsteal
     0.01s   0.1% 98.60%      0.01s   0.1%  runtime.runtimer
     0.01s   0.1% 98.70%      0.02s   0.2%  runtime.scanblock
     0.01s   0.1% 98.80%      1.67s 16.67%  runtime.schedule
     0.01s   0.1% 98.90%      0.14s  1.40%  runtime.selectnbsend
     0.01s   0.1% 99.00%      0.01s   0.1%  runtime.spanOf
     0.01s   0.1% 99.10%      0.01s   0.1%  runtime.wirep
     0.01s   0.1% 99.20%      0.01s   0.1%  runtime.writeHeapBits.write
     0.01s   0.1% 99.30%      0.01s   0.1%  runtime/internal/atomic.(*Bool).Load
     0.01s   0.1% 99.40%      0.01s   0.1%  runtime/internal/atomic.(*UnsafePointer).Load
     0.01s   0.1% 99.50%      0.01s   0.1%  sync.loadPoolChainElt
     0.01s   0.1% 99.60%      0.01s   0.1%  sync.runtime_canSpin
     0.01s   0.1% 99.70%      0.76s  7.58%  syscall.sendmsg
     0.01s   0.1% 99.80%      0.01s   0.1%  time.(*Time).addSec
     0.01s   0.1% 99.90%      0.01s   0.1%  time.(*Time).sec
     0.01s   0.1%   100%      0.01s   0.1%  time.now
         0     0%   100%      0.01s   0.1%  bytes.(*Buffer).grow
         0     0%   100%      0.17s  1.70%  bytes.(*Reader).Read (partial-inline)
         0     0%   100%      0.01s   0.1%  github.com/quic-go/qtls-go1-20.(*Conn).Handshake
         0     0%   100%      0.01s   0.1%  github.com/quic-go/qtls-go1-20.(*Conn).HandshakeContext
         0     0%   100%      1.56s 15.57%  github.com/quic-go/qtls-go1-20.(*Conn).Read
         0     0%   100%      0.66s  6.59%  github.com/quic-go/qtls-go1-20.(*Conn).readFromUntil
         0     0%   100%      1.47s 14.67%  github.com/quic-go/qtls-go1-20.(*Conn).readRecord (inline)
         0     0%   100%      1.47s 14.67%  github.com/quic-go/qtls-go1-20.(*Conn).readRecordOrCCS
         0     0%   100%      0.02s   0.2%  github.com/quic-go/qtls-go1-20.(*halfConn).explicitNonceLen
         0     0%   100%      3.36s 33.53%  github.com/quic-go/quic-go.(*client).dial.func1
         0     0%   100%      0.24s  2.40%  github.com/quic-go/quic-go.(*connection).appendPacket
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go.(*connection).handleAckFrame
         0     0%   100%      0.44s  4.39%  github.com/quic-go/quic-go.(*connection).handleFrame
         0     0%   100%      2.42s 24.15%  github.com/quic-go/quic-go.(*connection).handleShortHeaderPacket
         0     0%   100%      0.11s  1.10%  github.com/quic-go/quic-go.(*connection).maybeResetTimer
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go.(*connection).onHasConnectionWindowUpdate
         0     0%   100%      0.91s  9.08%  github.com/quic-go/quic-go.(*connection).run.func2
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go.(*connection).scheduleSending
         0     0%   100%      0.37s  3.69%  github.com/quic-go/quic-go.(*connection).sendPackets
         0     0%   100%      0.36s  3.59%  github.com/quic-go/quic-go.(*connection).sendPacketsWithGSO
         0     0%   100%      0.15s  1.50%  github.com/quic-go/quic-go.(*frameSorter).Push
         0     0%   100%      0.79s  7.88%  github.com/quic-go/quic-go.(*oobConn).WritePacket
         0     0%   100%      0.03s   0.3%  github.com/quic-go/quic-go.(*packetBuffer).Release
         0     0%   100%      0.10s     1%  github.com/quic-go/quic-go.(*packetBuffer).putBack
         0     0%   100%      0.09s   0.9%  github.com/quic-go/quic-go.(*packetPacker).appendPacket
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go.(*packetPacker).appendPacketPayload
         0     0%   100%      0.03s   0.3%  github.com/quic-go/quic-go.(*packetPacker).composeNextPacket
         0     0%   100%      0.03s   0.3%  github.com/quic-go/quic-go.(*packetPacker).encryptPacket
         0     0%   100%      0.03s   0.3%  github.com/quic-go/quic-go.(*packetPacker).maybeGetAppDataPacket
         0     0%   100%      0.03s   0.3%  github.com/quic-go/quic-go.(*packetPacker).maybeGetShortHeaderPacket
         0     0%   100%      0.59s  5.89%  github.com/quic-go/quic-go.(*receiveStream).Read
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go.(*receiveStream).Read.func1
         0     0%   100%      0.47s  4.69%  github.com/quic-go/quic-go.(*receiveStream).readImpl
